127.0.0.1 - - [11/Mar/2021:20:22:33 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Mar/2021:21:51:47 -0300] "GET /exemploServlet/contato.html?txtNome=Lucas+Felix+da+Silva&txtEndereco=Rua+Nivaldo+Machado+De+Oliveira&txtTelefone=%2847%2999935-2692 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:21:51:47 -0300] "GET /exemploServlet/contato.html?txtNome=Lucas+Felix+da+Silva&txtEndereco=Rua+Nivaldo+Machado+De+Oliveira&txtTelefone=%2847%2999935-2692 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:21:51:47 -0300] "GET /exemploServlet/contato.html?txtNome=Lucas+Felix+da+Silva&txtEndereco=Rua+Nivaldo+Machado+De+Oliveira&txtTelefone=%2847%2999935-2692 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:21:51:47 -0300] "GET /exemploServlet/contato.html?txtNome=Lucas+Felix+da+Silva&txtEndereco=Rua+Nivaldo+Machado+De+Oliveira&txtTelefone=%2847%2999935-2692 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:21:51:47 -0300] "GET /exemploServlet/contato.html?txtNome=Lucas+Felix+da+Silva&txtEndereco=Rua+Nivaldo+Machado+De+Oliveira&txtTelefone=%2847%2999935-2692 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:21:51:48 -0300] "GET /exemploServlet/contato.html?txtNome=Lucas+Felix+da+Silva&txtEndereco=Rua+Nivaldo+Machado+De+Oliveira&txtTelefone=%2847%2999935-2692 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:21:51:48 -0300] "GET /exemploServlet/contato.html?txtNome=Lucas+Felix+da+Silva&txtEndereco=Rua+Nivaldo+Machado+De+Oliveira&txtTelefone=%2847%2999935-2692 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:21:51:48 -0300] "GET /exemploServlet/contato.html?txtNome=Lucas+Felix+da+Silva&txtEndereco=Rua+Nivaldo+Machado+De+Oliveira&txtTelefone=%2847%2999935-2692 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:21:52:45 -0300] "GET /exemploServlet/contato.html?txtNome=Lucas+Felix+da+Silva&txtEndereco=Rua+Nivaldo+Machado+De+Oliveira&txtTelefone=%2847%2999935-2692 HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [11/Mar/2021:21:52:53 -0300] "GET /exemploServlet/contato.html?txtNome=Lucas+Felix+da+Silva&txtEndereco=Rua+Nivaldo+Machado+De+Oliveira&txtTelefone=47999325692 HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [11/Mar/2021:21:53:08 -0300] "GET /exemploServlet/contato.html?txtNome=Lucas+Felix+da+Silva&txtEndereco=Rua+Nivaldo+Machado+De&txtTelefone=4799932569 HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [11/Mar/2021:21:53:19 -0300] "GET /exemploServlet/contato.html?txtNome=Lucas+Felix+da+Silva&txtEndereco=Rua+Nivaldo&txtTelefone= HTTP/1.1" 200 1815
