127.0.0.1 - - [24/Feb/2022:21:35:07 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/Feb/2022:21:35:09 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [24/Feb/2022:21:35:09 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [24/Feb/2022:21:35:09 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [24/Feb/2022:21:35:09 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [24/Feb/2022:21:35:09 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [24/Feb/2022:21:36:20 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Feb/2022:21:36:20 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [24/Feb/2022:21:36:21 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [24/Feb/2022:21:36:21 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [24/Feb/2022:21:36:22 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [24/Feb/2022:21:36:22 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [24/Feb/2022:21:36:22 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [24/Feb/2022:21:36:22 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
