127.0.0.1 - - [14/Jun/2022:20:56:36 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:56:37 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:56:37 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:56:37 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:56:37 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:56:37 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:56:39 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:56:39 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:56:39 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:56:43 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:56:43 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:56:45 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:57:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:57:28 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:57:28 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:57:28 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:57:28 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:57:29 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:57:29 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:57:29 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:57:29 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:57:32 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:57:32 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [14/Jun/2022:20:57:32 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 84
